Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option	14.1083
Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option	11.2426
Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option	10.1803
Franklin India Banking & PSU Debt Fund - Direct - Growth	23.3666
Franklin India Banking & PSU Debt Fund - Growth	22.3764
Franklin India Banking and PSU Debt Fund - Direct - IDCW 	11.5628
Franklin India Banking and PSU Debt Fund - IDCW 	10.9384
HDFC Banking and PSU Debt Fund - Growth Option	22.982
HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan	23.9177
HDFC Banking and PSU Debt Fund - IDCW Option	10.271
HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan	10.0705
HSBC Banking and PSU Debt Fund - Direct Daily IDCW	11.1907
HSBC Banking and PSU Debt Fund - Direct Growth	25.4632
HSBC Banking and PSU Debt Fund - Direct Monthly IDCW	11.4146
HSBC Banking and PSU Debt Fund - Direct Weekly IDCW	10.3853
HSBC Banking and PSU Debt Fund - Regular Daily IDCW	11.116
HSBC Banking and PSU Debt Fund - Regular Growth	24.1853
HSBC Banking and PSU Debt Fund - Regular Monthly IDCW	10.6954
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW	10.3579
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW	10.0549
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW	10.2427
ICICI Prudential Banking and PSU Debt Fund - Bonus	15.8889
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW	10.2538
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth	34.0112
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW	13.0331
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW	10.3708
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus	13.8665
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option	13.1098
ICICI Prudential Banking and PSU Debt Fund - Growth	32.6422
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW	11.0401
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option	12.9261
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend	10.0122
